,GEOID10,excelCountyName,excelVTDId
1410,370230022,Burke,0022
1411,370230047,Burke,0047
1412,370230048,Burke,0048
1413,370230036,Burke,0036
1414,370230038,Burke,0038
1415,370230031,Burke,0031
1416,370230035,Burke,0035
1417,370230024,Burke,0024
1418,370230015,Burke,0015
1419,370230039,Burke,0039
1420,370230011,Burke,0011
1421,370230053,Burke,0053
1422,370230064,Burke,0064
1423,370230070,Burke,0070
1424,370230003,Burke,0003
1425,370230014,Burke,0014
1426,370230012,Burke,0012
1427,370230065,Burke,0065
1428,371670008,Stanly,0008
1429,371670013,Stanly,0013
1430,371670007,Stanly,0007
1431,371670023,Stanly,0023
1432,371670028,Stanly,0028
1433,371670012,Stanly,0012
1434,371670015,Stanly,0015
1435,371670017,Stanly,0017
1436,371670019,Stanly,0019
1437,371670010,Stanly,0010
1438,371670018,Stanly,0018
1439,371670020,Stanly,0020
1440,371670024,Stanly,0024
1441,3705901,Davie,01
1442,3705902,Davie,02
1443,3705903,Davie,03
1444,3705904,Davie,04
1445,3705905,Davie,05
1446,3705906,Davie,06
1447,3705907,Davie,07
1448,3705908,Davie,08
1449,3705909,Davie,09
1450,3705910,Davie,10
1451,3705911,Davie,11
1452,3705912,Davie,12
1453,3705913,Davie,13
1454,3705914,Davie,14
1455,371670014,Stanly,0014
1456,371670026,Stanly,0026
1457,371670021,Stanly,0021
1458,371670027,Stanly,0027
1459,371670003,Stanly,0003
1460,371670022,Stanly,0022
1461,371670011,Stanly,0011
1462,371670016,Stanly,0016
1463,371670002,Stanly,0002
1464,371670025,Stanly,0025
1465,37195PRWC,Wilson,PRWC
1466,37195PRWB,Wilson,PRWB
1467,37195PRWP,Wilson,PRWP
1468,37195PRWL,Wilson,PRWL
1469,37195PROL,Wilson,PROL
1470,37195PRWA,Wilson,PRWA
1471,37195PRWE,Wilson,PRWE
1472,37195PRBL,Wilson,PRBL
1473,37195PRSP,Wilson,PRSP
1474,37195PRWN,Wilson,PRWN
1475,37195PRTO,Wilson,PRTO
1476,37195PRTA,Wilson,PRTA
1477,37195PRSA,Wilson,PRSA
1478,37195PRWJ,Wilson,PRWJ
1479,37195PRWH,Wilson,PRWH
