,low,high,length
384,371592727,370590202,45892.33928640039
385,371592727,37097CH-ACH-A,5913.791929529288
386,371591111,371593939,3264.4857224055872
387,371591111,371591212,17949.824251122645
388,371591111,370590707,29478.59264156726
389,371591111,370570606,2068.1310247174197
390,371591010,371593030,8840.65358632746
391,371591010,371593636,7297.120404737412
392,371591010,371590101,0.0
393,371593333,371591717,1755.6521821153638
394,371593333,371590505,13776.232122876823
395,371593333,371590606,2719.618469883913
396,371593333,3702505-0005-00,9530.078570447593
397,371593333,3702504-0304-03,0.0
398,371591717,371590202,11836.773147867287
399,371591717,3702505-0005-00,0.0
