Unnamed: 0_level_0,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Gender,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Age,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity,Voter Registration by Ethnicity
VTD,Total,Male,Male %,Female,Female %,Undes.,Undes.,Total,18-25,18-25 %,26-40,26-40 %,41-65,41-65 %,66+,66+ %,Total,Hispanic,Hisp %,Non-Hisp,Non H %,Undesign.,Undes. %
07,232,111,0.478448275862,120,0.51724137931,1,0.00431034482759,232,12,0.051724137931,63,0.271551724138,105,0.452586206897,52,0.224137931034,232,1,0.00431034482759,222,0.956896551724,9,0.0387931034483
08,344,172,0.5,167,0.485465116279,5,0.0145348837209,344,21,0.0610465116279,93,0.270348837209,176,0.511627906977,54,0.156976744186,344,0,0.0,315,0.915697674419,29,0.0843023255814
09,343,158,0.460641399417,183,0.533527696793,2,0.00583090379009,343,38,0.110787172012,73,0.212827988338,157,0.457725947522,75,0.218658892128,343,0,0.0,320,0.932944606414,23,0.067055393586
10,715,318,0.444755244755,391,0.546853146853,6,0.00839160839161,715,52,0.0727272727273,144,0.201398601399,361,0.504895104895,158,0.220979020979,715,2,0.0027972027972,644,0.900699300699,69,0.0965034965035
11,481,222,0.461538461538,256,0.532224532225,3,0.00623700623701,481,26,0.0540540540541,79,0.164241164241,236,0.490644490644,140,0.29106029106,481,0,0.0,438,0.910602910603,43,0.0893970893971
12,298,150,0.503355704698,146,0.489932885906,2,0.00671140939597,298,29,0.0973154362416,59,0.197986577181,135,0.453020134228,75,0.251677852349,298,1,0.00335570469799,273,0.91610738255,24,0.0805369127517
13,459,205,0.446623093682,252,0.549019607843,2,0.00435729847495,459,36,0.078431372549,98,0.213507625272,206,0.448801742919,119,0.259259259259,459,0,0.0,422,0.919389978214,37,0.0806100217865
14,885,412,0.465536723164,471,0.532203389831,2,0.00225988700565,885,74,0.083615819209,197,0.222598870056,407,0.45988700565,207,0.233898305085,885,3,0.00338983050847,817,0.923163841808,65,0.0734463276836
15,750,335,0.446666666667,414,0.552,1,0.00133333333333,750,67,0.0893333333333,162,0.216,332,0.442666666667,189,0.252,750,7,0.00933333333333,684,0.912,59,0.0786666666667
16,1143,522,0.456692913386,613,0.536307961505,8,0.00699912510936,1143,51,0.0446194225722,177,0.154855643045,423,0.370078740157,492,0.430446194226,1143,3,0.00262467191601,1036,0.906386701662,104,0.0909886264217
17,496,231,0.465725806452,261,0.526209677419,4,0.00806451612903,496,48,0.0967741935484,130,0.262096774194,218,0.439516129032,100,0.201612903226,496,2,0.00403225806452,434,0.875,60,0.120967741935
18,300,146,0.486666666667,153,0.51,1,0.00333333333333,300,25,0.0833333333333,73,0.243333333333,138,0.46,64,0.213333333333,300,0,0.0,283,0.943333333333,17,0.0566666666667
19,312,151,0.483974358974,159,0.509615384615,2,0.00641025641026,312,21,0.0673076923077,75,0.240384615385,131,0.419871794872,85,0.272435897436,312,2,0.00641025641026,287,0.919871794872,23,0.0737179487179
AUROR,1302,590,0.453149001536,693,0.532258064516,19,0.0145929339478,1302,102,0.0783410138249,227,0.174347158218,620,0.47619047619,353,0.271121351767,1302,2,0.00153609831029,1031,0.791858678955,269,0.206605222734
BEADM,1534,708,0.461538461538,809,0.527379400261,17,0.0110821382008,1534,109,0.0710560625815,382,0.249022164276,711,0.463494132986,332,0.216427640156,1534,3,0.0019556714472,1295,0.844198174707,236,0.153846153846
BELHV,1648,685,0.415655339806,952,0.577669902913,11,0.00667475728155,1648,120,0.0728155339806,281,0.170509708738,763,0.462985436893,484,0.293689320388,1648,3,0.00182038834951,1342,0.81432038835,303,0.183859223301
BLCK,794,359,0.452141057935,426,0.536523929471,9,0.0113350125945,794,50,0.0629722921914,135,0.170025188917,398,0.501259445844,211,0.265743073048,794,3,0.00377833753149,640,0.80604534005,151,0.190176322418
CHOCO,3341,1475,0.441484585453,1828,0.547141574379,38,0.0113738401676,3341,328,0.0981741993415,822,0.246034121521,1580,0.472912301706,611,0.182879377432,3341,25,0.00748278958396,2618,0.783597725232,698,0.208919485184
EDWAR,998,449,0.449899799599,537,0.538076152305,12,0.0120240480962,998,76,0.0761523046092,185,0.185370741483,472,0.472945891784,265,0.265531062124,998,2,0.00200400801603,812,0.813627254509,184,0.184368737475
GILEA,1774,833,0.469560315671,926,0.52198421646,15,0.00845546786922,1774,59,0.0332581736189,179,0.100901916573,812,0.457722660654,724,0.408117249154,1774,1,0.000563697857948,1527,0.860766629087,246,0.138669673055
HB,741,344,0.464237516869,391,0.527665317139,6,0.0080971659919,741,64,0.0863697705803,167,0.225371120108,340,0.458839406208,170,0.229419703104,741,2,0.00269905533063,612,0.825910931174,127,0.171390013495
NCRK,1254,601,0.479266347687,646,0.515151515152,7,0.00558213716108,1254,70,0.0558213716108,208,0.165869218501,565,0.450558213716,411,0.327751196172,1254,1,0.000797448165869,1048,0.835725677831,205,0.163476874003
