,STATEFP10,COUNTYFP10,VTDST10,GEOID10,VTDI10,NAME10,NAMELSAD10,LSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,VTD
725,37,139,NEW,37139NEW,P,NEW,Voting District NEW,V1,G5240,S,161264522.0,0.0,36.4050782,-76.4096135,37139NEWNEW
726,37,139,4-A,371394-A,P,4-A,Voting District 4-A,V1,G5240,S,3639138.0,0.0,36.2752648,-76.2189639,371394-A4-A
727,37,139,3-B,371393-B,P,3-B,Voting District 3-B,V1,G5240,S,1899885.0,0.0,36.2892962,-76.2304869,371393-B3-B
728,37,139,3-A,371393-A,P,3-A,Voting District 3-A,V1,G5240,S,4053838.0,0.0,36.288536900000004,-76.25327920000001,371393-A3-A
729,37,139,1-A,371391-A,P,1-A,Voting District 1-A,V1,G5240,S,1659622.0,35375.0,36.2979255,-76.2295227,371391-A1-A
730,37,139,2-B,371392-B,P,2-B,Voting District 2-B,V1,G5240,S,1036050.0,0.0,36.305553499999995,-76.2273819,371392-B2-B
731,37,139,PRO,37139PRO,P,PRO,Voting District PRO,V1,G5240,S,118805979.0,2133825.0,36.3488841,-76.30764029999999,37139PROPRO
732,37,193,107,37193107,P,107,Voting District 107,V1,G5240,S,64831311.0,112128.0,36.285231,-80.9069223,37193107107
733,37,193,125,37193125,P,125,Voting District 125,V1,G5240,S,156225752.0,32766.0,36.3062145,-81.30878309999999,37193125125
734,37,193,124,37193124,P,124,Voting District 124,V1,G5240,S,63230634.0,0.0,36.3469761,-80.9547558,37193124124
735,37,193,119,37193119,P,119,Voting District 119,V1,G5240,S,69668163.0,1375017.0,36.1798813,-81.2584764,37193119119
736,37,193,127,37193127,P,127,Voting District 127,V1,G5240,S,15358072.0,0.0,36.1413355,-81.1705021,37193127127
737,37,129,CF02,37129CF02,P,CF02,Voting District CF02,V1,G5240,S,79784437.0,5399936.0,34.351291499999995,-77.8985941,37129CF02CF02
738,37,129,FP03,37129FP03,P,FP03,Voting District FP03,V1,G5240,S,9073923.0,98190596.0,33.94676389999999,-77.9313684,37129FP03FP03
739,37,129,FP02,37129FP02,P,FP02,Voting District FP02,V1,G5240,S,10330038.0,8515695.0,34.0275603,-77.93241259999999,37129FP02FP02
740,37,129,CF01,37129CF01,P,CF01,Voting District CF01,V1,G5240,S,60674972.0,10867152.0,34.279137899999995,-77.95762309999999,37129CF01CF01
741,37,129,W30,37129W30,P,W30,Voting District W30,V1,G5240,S,11140190.0,2563559.0,34.176016,-77.9426333,37129W30W30
742,37,129,M03,37129M03,P,M03,Voting District M03,V1,G5240,S,12982606.0,3201727.0,34.1437565,-77.9281523,37129M03M03
743,37,129,H07,37129H07,P,H07,Voting District H07,V1,G5240,S,34548154.0,292469.0,34.3054922,-77.82043320000001,37129H07H07
744,37,129,H09,37129H09,P,H09,Voting District H09,V1,G5240,S,25846289.0,24210916.0,34.280176000000004,-77.74386159999999,37129H09H09
745,37,193,123,37193123,P,123,Voting District 123,V1,G5240,S,86852598.0,0.0,36.35057570000001,-81.0431941,37193123123
746,37,193,105,37193105,P,105,Voting District 105,V1,G5240,S,46289233.0,304921.0,36.2482356,-80.95307199999999,37193105105
747,37,193,106,37193106,P,106,Voting District 106,V1,G5240,S,54492945.0,101591.0,36.2435896,-81.00542879999999,37193106106
748,37,193,118,37193118,P,118,Voting District 118,V1,G5240,S,13983054.0,0.0,36.1701022,-81.1424838,37193118118
749,37,193,108,37193108,P,108,Voting District 108,V1,G5240,S,23350098.0,0.0,36.18971989999999,-81.12666159999999,37193108108
750,37,193,128,37193128,P,128,Voting District 128,V1,G5240,S,95221347.0,0.0,36.1208492,-81.0536793,37193128128
751,37,193,126,37193126,P,126,Voting District 126,V1,G5240,S,143624924.0,1831.0,36.339448,-81.1300423,37193126126
752,37,193,117,37193117,P,117,Voting District 117,V1,G5240,S,85242425.0,338217.0,36.1672501,-80.89655359999999,37193117117
753,37,193,101,37193101,P,101,Voting District 101,V1,G5240,S,56506560.0,141187.0,36.1721624,-81.00838590000001,37193101101
754,37,193,122,37193122,P,122,Voting District 122,V1,G5240,S,78261721.0,100293.0,36.088006299999996,-80.9408149,37193122122
755,37,193,114,37193114,P,114,Voting District 114,V1,G5240,S,79586312.0,0.0,36.3178141,-81.2091502,37193114114
756,37,193,110,37193110,P,110,Voting District 110,V1,G5240,S,95753011.0,0.0,36.225930600000005,-81.4127447,37193110110
757,37,193,113,37193113,P,113,Voting District 113,V1,G5240,S,160077587.0,844014.0,36.172613299999995,-81.3672323,37193113113
758,37,193,111,37193111,P,111,Voting District 111,V1,G5240,S,17426324.0,0.0,36.1526323,-81.2242313,37193111111
759,37,193,120,37193120,P,120,Voting District 120,V1,G5240,S,31015150.0,0.0,36.2422568,-81.1085733,37193120120
760,37,193,115A,37193115A,P,115A,Voting District 115A,V1,G5240,S,66130325.0,0.0,36.237587700000006,-81.1748411,37193115A115A
761,37,193,121,37193121,P,121,Voting District 121,V1,G5240,S,50801135.0,0.0,36.237568700000004,-81.06186650000001,37193121121
762,37,193,102,37193102,P,102,Voting District 102,V1,G5240,S,85483077.0,1684437.0,36.055468700000006,-81.2740372,37193102102
763,37,193,112,37193112,P,112,Voting District 112,V1,G5240,S,75045121.0,980334.0,36.0812436,-81.18884190000001,37193112112
764,37,193,129,37193129,P,129,Voting District 129,V1,G5240,S,29371572.0,0.0,36.120548,-81.143426,37193129129
765,37,193,104,37193104,P,104,Voting District 104,V1,G5240,S,13571869.0,0.0,36.1686086,-81.1931887,37193104104
766,37,129,WB,37129WB,P,WB,Voting District WB,V1,G5240,S,10053408.0,62112889.0,34.222551,-77.78376329999999,37129WBWB
767,37,129,FP01,37129FP01,P,FP01,Voting District FP01,V1,G5240,S,19344908.0,7328348.0,34.0894975,-77.914856,37129FP01FP01
768,37,129,M04,37129M04,P,M04,Voting District M04,V1,G5240,S,7344866.0,65679.0,34.1645625,-77.88862990000001,37129M04M04
769,37,129,FP04,37129FP04,P,FP04,Voting District FP04,V1,G5240,S,17233421.0,11841814.0,34.1019948,-77.8827473,37129FP04FP04
770,37,193,103,37193103,P,103,Voting District 103,V1,G5240,S,64363658.0,0.0,36.0659445,-81.0887232,37193103103
771,37,193,109,37193109,P,109,Voting District 109,V1,G5240,S,131814063.0,821857.0,36.0965328,-81.4024627,37193109109
772,37,129,W17,37129W17,P,W17,Voting District W17,V1,G5240,S,3898877.0,26620.0,34.1954114,-77.88235959999999,37129W17W17
773,37,129,M02,37129M02,P,M02,Voting District M02,V1,G5240,S,10141021.0,1233702.0,34.175216799999994,-77.860623,37129M02M02
774,37,129,M05,37129M05,P,M05,Voting District M05,V1,G5240,S,17037505.0,65720670.0,34.14616420000001,-77.84240159999999,37129M05M05
775,37,129,FP05,37129FP05,P,FP05,Voting District FP05,V1,G5240,S,2892737.0,45820927.0,34.0558825,-77.881816,37129FP05FP05
776,37,129,CF03,37129CF03,P,CF03,Voting District CF03,V1,G5240,S,43220250.0,462839.0,34.2997905,-77.8712793,37129CF03CF03
777,37,129,H06,37129H06,P,H06,Voting District H06,V1,G5240,S,6386257.0,11308.0,34.2639105,-77.854743,37129H06H06
778,37,129,W25,37129W25,P,W25,Voting District W25,V1,G5240,S,4426086.0,503501.0,34.246835499999996,-77.9439182,37129W25W25
779,37,129,W08,37129W08,P,W08,Voting District W08,V1,G5240,S,2365020.0,431349.0,34.2101573,-77.9321483,37129W08W08
780,37,129,W15,37129W15,P,W15,Voting District W15,V1,G5240,S,8155153.0,65855.0,34.24624420000001,-77.8981184,37129W15W15
