,low,high,length
520,37101PR28,37101PR15,27482.7755055
521,37101PR10,37101PR29A,22268.9857022
522,37101PR10,37101PR29B,0.0
523,37101PR10,37101PR34,4649.92454798
524,37101PR10,37101PR11B,18005.2005952
525,37101PR10,3718316-01,13977.9627914
526,37101PR10,3718310-04,5088.62513284
527,37101PR19,37101PR06,30111.1709499
528,37101PR19,37101PR05,44259.8625326
529,37101PR19,37101PR07,10194.1203103
530,37101PR12,37101PR13,5355.29849238
531,37101PR12,37101PR34,22885.8728033
532,37101PR12,37101PR11B,10946.6452223
533,37101PR12,37101PR31B,18666.5643314
534,37101PR12,37101PR31A,31349.8950256
535,37101PR12,37101PR11A,21034.0378365
536,37101PR12,3718316-09,9799.47107778
537,37101PR12,3718316-01,3473.02698687
538,37101PR12,3718315-01,7845.28266397
539,37101PR13,37101PR14,47293.199914
540,37101PR13,37101PR15,0.0
541,37101PR13,37101PR31A,34063.6383327
542,37101PR13,37101PR23,7370.43485636
543,37101PR13,37101PR33,12669.6869588
544,37101PR30,37101PR29B,11019.7013432
545,37101PR06,37101PR05,15806.84073
546,37101PR06,37101PR07,24211.2308869
547,37101PR06,3719101,10937.7044359
548,37101PR06,37195PRSP,18731.5241949
549,37101PR08,37101PR15,3872.04738344
550,37101PR08,37101PR07,32419.9146078
551,37101PR08,37101PR04,49619.5539122
552,37101PR05,37195PRSP,14272.2452659
553,37101PR14,37101PR16,4947.40201943
554,37101PR14,37101PR15,972.746460141
555,37101PR14,37101PR33,16055.5079181
556,37101PR14,37101PR03,38679.4171609
557,37101PR14,37085PR24,3230.91141789
558,37101PR16,37101PR15,47148.6276988
559,37101PR16,37101PR17,13506.9062413
560,37101PR15,37101PR04,44844.6395069
561,37101PR15,37101PR17,27912.8498671
562,37101PR02,37101PR18,10393.0278875
563,37101PR02,37101PR03,5580.74478117
564,37101PR02,37101PR17,0.0
565,37101PR02,37085PR25,19534.9373726
566,37101PR02,37085PR29,0.0
567,37101PR02,37163PLVW,11297.4125825
568,37101PR07,37101PR04,17659.2190013
569,37101PR07,3719108,26302.8028888
570,37101PR07,3719103,11772.0593362
571,37101PR07,3719101,4837.60043621
572,37101PR07,3719124,7347.52650451
573,37101PR04,37101PR17,9852.85471635
574,37101PR04,3719124,52199.9963543
575,37101PR04,37163NGRV,21385.7292717
576,37101PR18,37101PR17,35248.704737
