,lo,hi,length
553,42003522,42003F510,0.0
554,42003522,42003F522,2380.73845414
555,42003522,42003441,7959.5700178
556,42003522,42003452,227.163629903
557,42003530,42003540,3562.02144837
558,42003530,420031041,114.031534938
559,42003530,420031061,8539.31833904
560,42003530,42003G852,4166.16959544
561,42003540,42003542,5059.76500492
562,42003540,42003591,550.113127131
563,42003540,42003603,870.800858442
564,42003540,420034560,2165.86477666
565,42003540,420031041,1902.30969855
566,420031440,420031451,586.900028604
567,420031440,42003D220,31.6999433937
568,420031440,420032961,1787.8941331
569,420031451,420031471,9504.71619946
570,420031451,42003D320,1505.62072706
571,420031451,420032961,787.546193495
572,420031451,420032981,3096.17065627
573,420031471,420031490,2225.09110359
574,420031471,42003D320,128.711197219
575,420031471,42003D140,898.089522416
576,420031471,42003E342,258.023294168
577,420031471,42003F960,2362.18581453
578,420031490,42003D140,5332.89947982
579,420031490,42003E770,930.13944349
580,420031490,42003F960,3350.49006164
581,420031500,420031510,13412.144759
582,420031500,420034255,1622.36706206
583,420031500,420034301,6538.19071641
584,420031500,420034311,4153.38206507
585,420031500,420031970,900.853854778
586,420031500,420033161,4554.78166977
587,420031510,420034255,4517.429591
588,420031510,420033161,2299.47057307
589,420031510,420071520,3523.57442074
590,420031510,42007155,0.0
591,420031510,420071015,13335.3749787
592,420031510,420071025,0.0
593,420031520,420031550,1356.80070743
594,420031520,420031561,3183.17308984
595,420031520,42003B860,2436.25127348
596,420031520,42003B900,1282.81815445
597,420031630,420031580,834.080751446
598,420031630,420031590,1303.8763078
599,420031630,420034580,1561.78566771
600,420031630,420034610,0.0
601,420031630,420034630,1603.01143192
602,420031541,420031561,3120.38921352
603,420031541,420031570,1369.10755172
604,420031541,420034640,1102.09129255
605,420031550,420031561,922.016860979
606,420031550,420031610,2342.88878292
607,420031550,42003B900,1667.72826644
608,420031561,420031570,809.869852627
609,420031561,420031580,166.08564942
610,420031561,420031600,590.691595829
611,420031561,420031610,529.659244371
612,420032625,420032770,109.027855467
613,420032625,420032780,2453.63112185
614,420032700,420032710,2263.21443472
615,420032700,420032770,1003.52377126
616,420032700,42003650,638.421102505
617,420032700,42003660,266.337311365
618,420032710,420032730,883.327776642
619,420032710,420032770,4951.52524198
620,420032710,42003650,1055.41857584
621,420032710,421291260,1678.83221864
622,420032710,421291320,11709.326739
623,420032710,4212920,242.362280703
624,420032730,420032740,9073.15398111
625,420032730,420032750,1065.04821814
626,420032730,420032760,6800.02488694
627,420032730,420032770,567.733531141
628,420032730,420032170,3201.38131943
629,420032730,42005240,125.204459926
630,420032730,4201952,8830.29469418
631,420032730,4212920,17561.5737074
632,420032730,4212930,4400.37533719
633,420032740,420032750,3230.11368632
634,420032740,420032770,3119.43218738
635,420032740,420032780,1117.08763985
636,420032750,420032760,4574.48102278
637,420032750,420032780,5341.98503935
638,420033980,42003E260,1321.5115876
639,420033980,42003E270,2307.87189415
640,420033980,42003E280,4132.50058812
641,420033990,42003F101,391.328979023
642,420033990,42003F102,0.0
643,420033990,42003F130,1954.13940765
644,420033990,42003E280,1495.26680081
645,420034010,420034020,504.234272524
646,420034010,420034140,4323.63477769
647,420034010,420034170,8899.62482512
648,420034010,420034180,3649.08622856
649,420034010,420035821,5620.88100823
650,420034010,420035830,720.255864203
651,420034010,42003H135,5695.3307344
652,420034010,420035131,8475.32229602
