VTD,B02001e1,B02008e1,B02009e1,B02010e1,B02011e1,B02012e1,B02013e1,B03002e1,B03003e1,B17017e1,B17021e1,B19301e1,C17002e1,VTD.1,ID
421012901PHILADELPHIA WD 29 PCT 01,886.0,322.0,523.0,8.0,13.0,0.0,33.0,886.0,886.0,189.0,460.0,14661.0,460.0,421012901PHILADELPHIA WD 29 PCT 01,6551
421012902PHILADELPHIA WD 29 PCT 02,296.642651297,3.42939481268,284.639769452,0.0,8.5734870317,0.0,0.0,296.642651297,296.642651297,148.149855908,296.642651297,3933.17291066,296.642651297,421012902PHILADELPHIA WD 29 PCT 02,6552
421012903PHILADELPHIA WD 29 PCT 03,470.096850701,153.686695734,316.410154967,0.0,0.0,0.0,0.0,470.096850701,470.096850701,253.991485051,470.096850701,27364.1700902,470.096850701,421012903PHILADELPHIA WD 29 PCT 03,6553
421012904PHILADELPHIA WD 29 PCT 04,885.663043088,20.4153276584,857.119650181,0.0,5.59558117195,0.0,14.9210442342,885.663043088,885.663043088,330.437677987,885.663043088,6254.25433886,885.663043088,421012904PHILADELPHIA WD 29 PCT 04,6554
421012905PHILADELPHIA WD 29 PCT 05,297.971264368,26.3620689655,271.609195402,0.0,0.0,0.0,0.0,297.971264368,297.971264368,109.043103448,297.971264368,4649.70977011,297.971264368,421012905PHILADELPHIA WD 29 PCT 05,6555
421012906PHILADELPHIA WD 29 PCT 06,376.518469252,31.7382073058,344.780261946,0.0,0.0,0.0,0.0,376.518469252,376.518469252,138.119180395,376.518469252,6101.48713292,376.518469252,421012906PHILADELPHIA WD 29 PCT 06,6556
421012907PHILADELPHIA WD 29 PCT 07,915.023086288,17.533966604,897.489119683,0.0,0.0,0.0,17.0532544379,915.023086288,915.023086288,298.762447398,915.023086288,3723.00180851,915.023086288,421012907PHILADELPHIA WD 29 PCT 07,6557
421012908PHILADELPHIA WD 29 PCT 08,480.892310718,10.9053781276,459.804790468,15.4232155732,1.36887608069,0.0,3.55818540434,480.892310718,480.892310718,196.93639011,480.892310718,5300.05590304,480.892310718,421012908PHILADELPHIA WD 29 PCT 08,6558
421012909PHILADELPHIA WD 29 PCT 09,315.948660624,7.41002398276,302.955363389,9.77072819034,0.0,0.0,0.0,315.948660624,315.948660624,132.020341492,315.948660624,6607.67096973,315.948660624,421012909PHILADELPHIA WD 29 PCT 09,6559
421014018PHILADELPHIA WD 40 PCT 18,680.533364931,204.293514822,331.313073345,0.382075471698,142.506965443,0.0,2.9929245283,680.533364931,680.533364931,192.061987273,680.087610214,7787.01946549,680.087610214,421014018PHILADELPHIA WD 40 PCT 18,6560
421014019PHILADELPHIA WD 40 PCT 19,1049.57335483,122.979924935,602.347646032,4.16949152542,324.245783859,0.0,0.0,1049.57335483,1049.57335483,335.515792632,1049.57335483,17636.292852,1049.57335483,421014019PHILADELPHIA WD 40 PCT 19,6561
421014020PHILADELPHIA WD 40 PCT 20,1281.91351331,55.0650303625,1108.25665649,2.29539951574,119.868586336,0.0,12.7675988428,1281.91351331,1281.91351331,328.071916982,1281.91351331,12000.4733794,1281.91351331,421014020PHILADELPHIA WD 40 PCT 20,6562
421014021PHILADELPHIA WD 40 PCT 21,1090.45449295,86.6892529566,798.8419829,0.0,204.923257095,0.0,0.0,1090.45449295,1090.45449295,307.383195437,1080.79683529,12179.8183283,1080.79683529,421014021PHILADELPHIA WD 40 PCT 21,6563
421014022PHILADELPHIA WD 40 PCT 22,716.663577598,107.614287613,545.943067483,3.13010685104,32.5707102451,0.0,31.6216216216,716.663577598,716.663577598,235.860179568,713.950818327,11465.4137569,713.950818327,421014022PHILADELPHIA WD 40 PCT 22,6564
421014023PHILADELPHIA WD 40 PCT 23,1133.5258488,113.24449744,991.929394953,0.0,31.8028091124,0.0,2.39151398264,1133.5258488,1133.5258488,302.766688621,1104.90497793,9962.24117537,1104.90497793,421014023PHILADELPHIA WD 40 PCT 23,6565
421014024PHILADELPHIA WD 40 PCT 24,1248.49619135,169.637772358,1050.59372242,0.0,36.6819406061,0.0,0.0,1248.49619135,1248.49619135,379.109623446,1219.77471987,14424.5772927,1219.77471987,421014024PHILADELPHIA WD 40 PCT 24,6566
421014025PHILADELPHIA WD 40 PCT 25,1254.65836462,103.176511912,960.666465116,0.0,193.186442251,0.0,0.0,1254.65836462,1254.65836462,342.76826615,1254.65836462,7350.74041955,1254.65836462,421014025PHILADELPHIA WD 40 PCT 25,6567
421014026PHILADELPHIA WD 40 PCT 26,950.29252111,160.940289505,797.450542823,0.0,0.901688781665,0.0,84.0,950.29252111,950.29252111,304.425814234,950.29252111,10917.6405308,950.29252111,421014026PHILADELPHIA WD 40 PCT 26,6568
421014027PHILADELPHIA WD 40 PCT 27,841.046643477,73.4610741934,682.998530655,18.7044387462,71.4308273137,0.0,21.3687913577,841.046643477,841.046643477,230.297019665,840.777001742,7744.81779161,840.777001742,421014027PHILADELPHIA WD 40 PCT 27,6569
421014028PHILADELPHIA WD 40 PCT 28,1287.20781399,219.460641168,847.26848712,0.0,91.7296419652,6.60069848661,160.285714286,1287.20781399,1287.20781399,437.516041629,1287.20781399,,1287.20781399,421014028PHILADELPHIA WD 40 PCT 28,6570
421014029PHILADELPHIA WD 40 PCT 29,974.94814582,152.437774984,738.245757385,6.14707730987,49.6580766813,0.0,32.8378378378,974.94814582,974.94814582,315.163419233,969.620678818,9721.24292898,969.620678818,421014029PHILADELPHIA WD 40 PCT 29,6571
421014030PHILADELPHIA WD 40 PCT 30,1309.22639405,49.3695167286,1208.2063197,33.7014869888,52.5583643123,0.0,0.0,1309.22639405,1309.22639405,535.468401487,1309.22639405,,1309.22639405,421014030PHILADELPHIA WD 40 PCT 30,6572
421014050PHILADELPHIA WD 40 PCT 50,800.192244206,239.382686806,532.796939104,6.44528591502,12.1135646688,0.0,15.8990536278,800.192244206,800.192244206,352.439814789,797.810759412,,797.810759412,421014050PHILADELPHIA WD 40 PCT 50,6573
421014051PHILADELPHIA WD 40 PCT 51,1030.41276718,175.769405219,753.815805658,1.43924783028,79.3438242602,0.0,21.4837320385,1030.41276718,1030.41276718,346.244432637,1030.41276718,10067.5081278,1030.41276718,421014051PHILADELPHIA WD 40 PCT 51,6574
421014101PHILADELPHIA WD 41 PCT 01,523.967588179,340.665395615,168.60343184,0.0,0.0,0.0,41.5023832221,523.967588179,523.967588179,271.494756911,523.967588179,11122.6387035,523.967588179,421014101PHILADELPHIA WD 41 PCT 01,6575
421014102PHILADELPHIA WD 41 PCT 02,1277.2023308,735.864558938,409.589551505,0.0,23.3895222236,0.0,111.393218034,1277.2023308,1277.2023308,373.733895603,1277.2023308,8492.83021082,1277.2023308,421014102PHILADELPHIA WD 41 PCT 02,6576
421015419PHILADELPHIA WD 54 PCT 19,852.737048923,521.897611526,119.862265791,4.23587223587,207.447278076,0.0,8.82473382473,852.737048923,852.737048923,276.316680874,852.737048923,8319.76474954,852.737048923,421015419PHILADELPHIA WD 54 PCT 19,6577
421015420PHILADELPHIA WD 54 PCT 20,1091.92066723,668.013000384,147.595029166,5.64127764128,271.611572983,0.0,11.7526617527,1091.92066723,1091.92066723,352.611422554,1091.92066723,10453.1919604,1091.92066723,421015420PHILADELPHIA WD 54 PCT 20,6578
421015421PHILADELPHIA WD 54 PCT 21,1165.48894349,707.948402948,47.4766584767,10.0835380835,401.660933661,0.0,21.0073710074,1165.48894349,1165.48894349,353.764127764,1165.48894349,7415.18181818,1165.48894349,421015421PHILADELPHIA WD 54 PCT 21,6579
421015422PHILADELPHIA WD 54 PCT 22,1125.13724227,596.050902062,279.129510309,0.0,238.68556701,0.0,93.4851804124,1125.13724227,1125.13724227,281.118556701,1125.13724227,8278.41108247,1125.13724227,421015422PHILADELPHIA WD 54 PCT 22,6580
421015501PHILADELPHIA WD 55 PCT 01,1017.7626232,650.743207685,163.652420322,0.0,30.9301072758,0.0,183.682563408,1017.7626232,1017.7626232,372.832360222,1014.043066,15421.1803759,1014.043066,421015501PHILADELPHIA WD 55 PCT 01,6581
421015502PHILADELPHIA WD 55 PCT 02,1010.89534676,587.374457717,328.64033993,0.0,8.5864978903,0.0,104.247637725,1010.89534676,1010.89534676,357.139418791,1010.89534676,16841.9537648,1010.89534676,421015502PHILADELPHIA WD 55 PCT 02,6582
421015503PHILADELPHIA WD 55 PCT 03,1318.36549937,959.466190327,202.202025754,15.328125,4.50251256281,0.0,184.789054648,1318.36549937,1318.36549937,474.62370446,1312.28710741,19254.2182475,1312.28710741,421015503PHILADELPHIA WD 55 PCT 03,6583
421015504PHILADELPHIA WD 55 PCT 04,842.602781796,621.610225085,112.908465265,2.671875,33.1398865784,0.0,110.236383507,842.602781796,842.602781796,301.91143516,842.602781796,17070.7536938,842.602781796,421015504PHILADELPHIA WD 55 PCT 04,6584
