GEOID,IDNUM
420033080JEFFERSON HILLS DIST 05,475
420033051JEFFERSON HILLS DIST 06,476
420033060JEFFERSON HILLS DIST 07,477
420033070JEFFERSON HILLS DIST 08,478
420033091KENNEDY TWP DIST 01,479
420033095KENNEDY TWP DIST 02,480
420033101KENNEDY TWP DIST 03,481
420033120KENNEDY TWP DIST 04,482
420033125KENNEDY TWP DIST 05,483
420033131KENNEDY TWP DIST 06,484
420033135KENNEDY TWP DIST 07,485
420033140KILBUCK TWP,486
420033150LEET TWP DIST 01,487
420034350MT. LEBANON TWP WD 01 DIST 01,488
420034361MT. LEBANON TWP WD 01 DIST 02,489
420034371MT. LEBANON TWP WD 01 DIST 03,490
420034380MT. LEBANON TWP WD 01 DIST 04,491
420034391MT. LEBANON TWP WD 01 DIST 05,492
420034400MT. LEBANON TWP WD 01 DIST 06,493
420035520PENN HILLS TWP WD 03 DIST 04,494
420035521PENN HILLS TWP WD 03 DIST 05,495
420035780PENNSBURY VILLAGE,496
420035790PINE TWP DIST 01,497
420035800PINE TWP DIST 02,498
420036720PITTSBURGH WD 05 DIST 15,499
420036740PITTSBURGH WD 05 DIST 16,500
420036760PITTSBURGH WD 05 DIST 17,501
420036780PITTSBURGH WD 05 DIST 18,502
420036860PITTSBURGH WD 06 DIST 01,503
420036870PITTSBURGH WD 06 DIST 02,504
420036880PITTSBURGH WD 06 DIST 03,505
420036900PITTSBURGH WD 06 DIST 04,506
420039610PITTSBURGH WD 14 DIST 26,507
420039630PITTSBURGH WD 14 DIST 27,508
420039650PITTSBURGH WD 14 DIST 28,509
420039670PITTSBURGH WD 14 DIST 29,510
420039690PITTSBURGH WD 14 DIST 30,511
420039710PITTSBURGH WD 14 DIST 31,512
420039730PITTSBURGH WD 14 DIST 32,513
420039740PITTSBURGH WD 14 DIST 33,514
42003D560PITTSBURGH WD 29 DIST 12,515
42003D580PITTSBURGH WD 30 DIST 01,516
42003E330RICHLAND TWP DIST 04,517
42003E331RICHLAND TWP DIST 05,518
42003E332RICHLAND TWP DIST 06,519
42003E333RICHLAND TWP DIST 07,520
42003E334RICHLAND TWP DIST 08,521
42003E342ROBINSON TWP DIST 01,522
42003E346ROBINSON TWP DIST 02,523
42003E351ROBINSON TWP DIST 03,524
42003E356ROBINSON TWP DIST 04,525
42003E361ROBINSON TWP DIST 05,526
42003E366ROBINSON TWP DIST 06,527
42003E371ROBINSON TWP DIST 07,528
42003E376ROBINSON TWP DIST 08,529
42003E381ROBINSON TWP DIST 09,530
42003D810PITTSBURGH WD 31 DIST 07,531
42003D830PITTSBURGH WD 32 DIST 01,532
42003D850PITTSBURGH WD 32 DIST 02,533
42003D870PITTSBURGH WD 32 DIST 03,534
42003D890PITTSBURGH WD 32 DIST 04,535
42003D910PITTSBURGH WD 32 DIST 05,536
42003F170SHALER TWP WD 03 DIST 03,537
42003F171SHALER TWP WD 03 DIST 04,538
42003F172SHALER TWP WD 03 DIST 05,539
42003F180SHALER TWP WD 04 DIST 01,540
42003F190SHALER TWP WD 04 DIST 02,541
42003G341WEST HOMESTEAD DIST 01,542
42003G370WEST HOMESTEAD DIST 02,543
42003G360WEST HOMESTEAD DIST 03,544
42003G380WEST MIFFLIN DIST 01,545
42003G390WEST MIFFLIN DIST 02,546
42003G400WEST MIFFLIN DIST 03,547
42003G410WEST MIFFLIN DIST 04,548
42003770BRADFORD WOODS,549
42003781BRENTWOOD DIST 01,550
42003791BRENTWOOD DIST 02,551
42003801BRENTWOOD DIST 03,552
42003811BRENTWOOD DIST 04,553
42003821BRENTWOOD DIST 05,554
420031970EDGEWORTH DIST 02,555
420031980ELIZABETH TWP WD 01 DIST 01,556
420031981ELIZABETH TWP WD 01 DIST 02,557
420031990ELIZABETH TWP WD 02,558
420032001ELIZABETH TWP WD 03 DIST 02,559
420032010ELIZABETH TWP WD 04 DIST 01,560
420032011ELIZABETH TWP WD 04 DIST 02,561
420032020ELIZABETH TWP WD 05,562
420032030ELIZABETH TWP WD 06,563
420032040ELIZABETH TWP WD 07,564
420032050ELIZABETH TWP WD 08 DIST 01,565
420032051ELIZABETH TWP WD 08 DIST 02,566
420032060ELIZABETH TWP WD 09,567
420033151LEET TWP DIST 02,568
420033161LEETSDALE DIST 01,569
420033181LIBERTY DIST 01,570
420033191LIBERTY DIST 02,571
420033210LINCOLN,572
420033221MARSHALL TWP DIST 01,573
420033225MARSHALL TWP DIST 02,574
420033231MARSHALL TWP DIST 03,575
420034410MT. LEBANON TWP WD 01 DIST 07,576
420034420MT. LEBANON TWP WD 02 DIST 01,577
420034430MT. LEBANON TWP WD 02 DIST 02,578
420034440MT. LEBANON TWP WD 02 DIST 03,579
420034451MT. LEBANON TWP WD 02 DIST 04,580
420034461MT. LEBANON TWP WD 02 DIST 05,581
420035810PINE TWP DIST 03,582
420031187PINE TWP DIST 04,583
420031189PINE TWP DIST 05,584
42003PN1190PINE TWP DIST 06,585
420031188PINE TWP DIST 07,586
420036920PITTSBURGH WD 06 DIST 05,587
420037000PITTSBURGH WD 07 DIST 01,588
420037020PITTSBURGH WD 07 DIST 02,589
420037040PITTSBURGH WD 07 DIST 03,590
420037060PITTSBURGH WD 07 DIST 04,591
420037080PITTSBURGH WD 07 DIST 05,592
420037100PITTSBURGH WD 07 DIST 06,593
420037120PITTSBURGH WD 07 DIST 07,594
420037140PITTSBURGH WD 07 DIST 08,595
420037160PITTSBURGH WD 07 DIST 09,596
420039750PITTSBURGH WD 14 DIST 34,597
420039760PITTSBURGH WD 14 DIST 35,598
420039770PITTSBURGH WD 14 DIST 36,599
420039780PITTSBURGH WD 14 DIST 37,600
420039790PITTSBURGH WD 14 DIST 38,601
420039800PITTSBURGH WD 14 DIST 39,602
420039810PITTSBURGH WD 14 DIST 40,603
420039820PITTSBURGH WD 14 DIST 41,604
420039840PITTSBURGH WD 15 DIST 01,605
420039860PITTSBURGH WD 15 DIST 02,606
42003E425ROSS TWP WD 01 DIST 01,607
42003E435ROSS TWP WD 01 DIST 02,608
42003E445ROSS TWP WD 01 DIST 03,609
42003E455ROSS TWP WD 01 DIST 04,610
42003E465ROSS TWP WD 02 DIST 01,611
42003E475ROSS TWP WD 02 DIST 02,612
42003E485ROSS TWP WD 02 DIST 03,613
42003D930PITTSBURGH WD 32 DIST 06,614
