,GEOID10,ALAND10,AWATER10,POP100,POPMALE,POPFEMALE,POP1RACE,POPWHITE,POPBLACK,POPAMERIND,POPASIAN,POPPACIFIC,POPOTHER,POPMULTRAC,POPHISP,PERIM
0,330039551001137,717.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,270.046495559
0,330039551001134,0.0,9127.0,0,0,0,0,0,0,0,0,0,0,0,0,1898.08545428
0,330039551001128,8624.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1619.64511249
0,330039551001122,3387.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1021.82426585
0,330039553001003,178039.0,1021.0,0,0,0,0,0,0,0,0,0,0,0,0,7384.36297286
0,330039553001060,577915.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,12320.0231999
0,330039553001079,174811.0,0.0,5,2,3,5,5,0,0,0,0,0,0,0,5573.62494688
0,330039553001044,8731.0,0.0,4,1,3,4,4,0,0,0,0,0,0,0,1072.89286363
0,330039553001048,1321.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,715.639974638
0,330039553001159,210900.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10451.0577087
0,330039553001063,3762.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,802.674440368
0,330039553001053,278419.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,9636.40796464
0,330039553001031,57126.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4581.06627673
0,330039553001144,442.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,387.448998545
0,330039553001020,27521.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,2186.81241838
0,330039553001011,2589339.0,0.0,2,1,1,2,2,0,0,0,0,0,0,0,19294.8090502
0,330039553003038,1784.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,475.161492513
0,330039553004009,1974.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,563.395982679
0,330039553006012,14646.0,0.0,9,7,2,9,9,0,0,0,0,0,0,0,1273.76847206
0,330039553004012,1316.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,673.72646549
0,330039553001153,17883.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2006.62096114
0,330039553004015,1286.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,425.3179334
0,330039553001162,50694.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,4095.92873257
0,330039553004029,13255.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1670.38885105
0,330039554005041,134331.0,0.0,10,3,7,10,10,0,0,0,0,0,0,0,6054.14551189
0,330039554005078,1778.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,466.137571593
0,330039554004043,5037.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1024.56193934
0,330039554005056,0.0,88116.0,0,0,0,0,0,0,0,0,0,0,0,0,10550.2146002
0,330039554004050,64556.0,0.0,14,7,7,14,14,0,0,0,0,0,0,0,3006.4682623
0,330039554004030,380783.0,0.0,1,1,0,1,1,0,0,0,0,0,0,0,8093.15079678
0,330039553001196,4840.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1000.86612466
0,330039554001000,17004.0,0.0,9,4,5,9,9,0,0,0,0,0,0,0,1526.77331044
0,330039553005044,15277.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1481.74474712
0,330039554004026,24428.0,0.0,1,0,1,1,1,0,0,0,0,0,0,0,2263.68637368
0,330039554003043,108287.0,0.0,16,6,10,16,16,0,0,0,0,0,0,0,4012.99822181
0,330039554005042,261222.0,0.0,4,2,2,4,4,0,0,0,0,0,0,0,11451.8003832
0,330039554002035,21300.0,0.0,22,11,11,22,22,0,0,0,0,0,0,0,1770.56295344
0,330039555001032,5939.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1280.87891523
0,330039555001230,92425.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3332.30710823
0,330039555001201,123045.0,0.0,4,2,2,4,4,0,0,0,0,0,0,0,8854.7849226
0,330039555001023,13511.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2742.77086284
0,330039555001022,25103.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6160.98555128
0,330039555001210,22240.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5308.64167926
