,lo,hi,length
424,33009PLYM01,33009ASHL01,756572.296264
425,33009PLYM01,33009BRID01,1683940.5014
426,33009HOLD01,33009ASHL01,4549451.04585
427,33009ASHL01,33009BRID01,674875.933117
428,33009BRID01,33009BRIS01,6240237.65606
429,33009BRIS01,33009ALEX01,2073556.32543
430,33009BRIS01,33013HILL01,925849.867893
431,33009ALEX01,33009ORAN01,2578367.23086
432,33009ALEX01,33009GRAF01,767935.952688
433,33009ALEX01,33013DANB01,1815180.49118
434,33009ALEX01,33013HILL01,1599910.20206
435,33009ORAN01,33009GRAF01,2255239.18166
436,33009ORAN01,33009CANA01,4424752.70535
437,33009GRAF01,33009ENFI01,1573852.1606
438,33009GRAF01,33009CANA01,448020.372239
439,33009GRAF01,33013DANB01,1918249.60832
440,33009GRAF01,33013WILM01,127010.174831
441,33009GRAF01,33019SPRI01,2977750.1885
442,33009ENFI01,33009CANA01,3089093.93885
443,33009ENFI01,33009HANO01,0.0
444,33009ENFI01,33019PLFD01,807761.132291
445,33009ENFI01,33019GRAN01,2476001.02893
446,33009ENFI01,33019SPRI01,672072.429227
447,33009CANA01,33009HANO01,2467866.1782
448,33011MANC03,33011MANC04,133330.468362
449,33011MANC03,33011MANC11,139900.881673
450,33011MANC03,33011MANC09,342172.292648
451,33011MANC03,33011MANC05,97327.3021762
452,33011MANC03,33011MANC07,110629.247721
453,33011MANC03,33011MANC10,193607.987522
454,33011MANC03,33011MANC12,362672.852413
455,33011MANC03,33011MANC01,322920.058216
456,33011MANC03,33011MANC02,300233.887641
457,33011MANC04,33011MANC05,1582086.60125
458,33011MANC04,33011MANC06,516019.851862
459,33011MANC04,33011MANC02,633598.119578
460,33011MANC11,33011MANC10,598221.156741
461,33011MANC11,33011MANC12,1194791.01635
462,33011MANC09,33011MANC07,290541.880922
463,33011MANC09,33011MANC08,1317484.60596
464,33011MANC09,33011MANC10,137698.186334
465,33011MANC09,33011BEDF01,638734.391921
466,33011SHAR01,33011TEMP01,2635262.50404
467,33011SHAR01,33011PETE01,3941928.13528
468,33011SHAR01,33011NIPS01,921951.750788
469,33011TEMP01,33011WILT01,3039759.70258
470,33011TEMP01,33011GRFD01,604389.469653
471,33011TEMP01,33011PETE01,898381.888384
472,33011TEMP01,33011LYND01,799974.654232
473,33011TEMP01,33011NIPS01,1650480.54351
474,33011TEMP01,33011GRNV01,228034.227977
475,33011WILT01,33011MILF01,991117.654997
476,33011WILT01,33011LYND01,2406853.07469
477,33011WILT01,33011GRNV01,436728.221676
478,33011WILT01,33011MASO01,1490131.37425
479,33011MILF01,33011AMHE01,3880866.97811
480,33011MILF01,33011LYND01,982944.823605
481,33011MILF01,33011MONT01,608846.285213
482,33011MILF01,33011MASO01,518925.600802
483,33011MILF01,33011BRKL01,2161522.83687
484,33011MILF01,33011HOLL01,946919.900534
485,33011AMHE01,33011MERR01,1698807.15366
486,33011AMHE01,33011NBOS01,659341.446393
487,33011AMHE01,33011BEDF01,1365100.49596
488,33011AMHE01,33011MONT01,3244616.91961
489,33011AMHE01,33011HOLL01,1024011.94652
490,33011MERR01,33011MANC08,114118.618758
491,33011MERR01,33011NASH02,1187846.85044
492,33011MERR01,33011NASH01,214926.910214
493,33011MERR01,33011NASH03,1568762.93857
494,33011MERR01,33011BEDF01,2464591.10761
495,33011MERR01,33011LITC01,2071523.99996
496,33011MERR01,33011HOLL01,178180.627048
497,33011MANC05,33011MANC06,154711.29869
498,33011MANC05,33011MANC07,709488.653788
499,33011MANC06,33011MANC07,311969.888537
500,33011MANC06,33011MANC08,1027979.13953
501,33011MANC06,33011MANC02,806342.61151
502,33011MANC06,33013HOOK01,0.0
503,33011MANC06,33015LOND01,303621.051906
504,33011MANC06,33015AUBU01,1776862.70723
505,33011MANC07,33011MANC08,921617.949108
506,33011MANC08,33011BEDF01,382259.376133
507,33011MANC08,33011LITC01,641756.250576
508,33011MANC08,33015LOND01,2030956.40122
509,33011MANC10,33011GOFF01,244195.205971
510,33011MANC10,33011BEDF01,1188562.75988
511,33011MANC10,33011MANC12,149352.102709
512,33011NASH02,33011NASH01,1277159.17932
513,33011NASH02,33011NASH04,334546.452094
514,33011NASH02,33011NASH03,1038500.84282
515,33011NASH01,33011NASH04,192100.930158
516,33011NASH01,33011NASH05,864699.560903
517,33011NASH01,33011HOLL01,1751961.56538
518,33011NASH04,33011NASH03,423670.324182
519,33011NASH04,33011NASH07,436323.99755
520,33011NASH04,33011NASH06,709885.188498
521,33011NASH04,33011NASH05,230112.721628
522,33011NASH03,33011NASH07,547648.405478
523,33011NASH03,33011LITC01,105231.275122
524,33011NASH03,33011HUDS01,661767.240261
525,33011NASH07,33011NASH06,715084.311384
526,33011NASH07,33011NASH08,563050.687798
527,33011NASH07,33011HUDS01,727899.293722
528,33011NASH06,33011NASH09,929800.088781
529,33011NASH06,33011NASH05,86265.3822546
530,33011NASH06,33011NASH08,211354.244838
531,33011NASH09,33011NASH05,2038630.22421
532,33011NASH09,33011NASH08,668192.718289
533,33011NASH05,33011HOLL01,718256.497703
534,33011NASH08,33011HUDS01,377425.318541
535,33011HILS01,33011WNDS01,1618754.98005
536,33011HILS01,33011ANTR01,3097622.70066
537,33011HILS01,33011DRNG01,1343102.71497
538,33011HILS01,33013BRAD01,2039772.12421
539,33011HILS01,33013HENN01,2153457.77427
540,33011HILS01,33019WASH01,1126962.00769
541,33011WNDS01,33011ANTR01,2521050.04351
542,33011WNDS01,33019WASH01,709497.911296
543,33011ANTR01,33011DRNG01,1634677.96955
544,33011ANTR01,33011HANC01,2592690.51509
545,33011ANTR01,33011BENN01,1644661.80358
546,33011DRNG01,33011WEAR01,1688883.36548
547,33011DRNG01,33011BENN01,1622892.57984
548,33011DRNG01,33011FRNT01,4020225.54326
549,33011DRNG01,33013HENN01,985252.961975
550,33011WEAR01,33011FRNT01,856769.046303
551,33011WEAR01,33011NBOS01,2614407.37029
552,33011WEAR01,33011GOFF01,452704.500189
553,33011WEAR01,33013HENN01,3253349.53619
554,33011WEAR01,33013HOPK01,2776591.05493
555,33011WEAR01,33013DUNB01,1784832.84465
556,33011HANC01,33011BENN01,1333946.67292
557,33011HANC01,33011GRFD01,1222757.42552
558,33011HANC01,33011PETE01,1231604.33424
559,33011BENN01,33011FRNT01,1474435.81826
560,33011BENN01,33011GRFD01,1240285.61983
561,33011FRNT01,33011NBOS01,1070901.10691
562,33011FRNT01,33011GRFD01,2352722.4034
563,33011FRNT01,33011LYND01,1237922.67666
564,33011NBOS01,33011GOFF01,2389423.08606
565,33011NBOS01,33011BEDF01,568717.585718
566,33011NBOS01,33011LYND01,681559.566713
567,33011NBOS01,33011MONT01,2056022.73056
568,33011GOFF01,33011BEDF01,2527556.1785
569,33011GOFF01,33011MANC12,816321.23729
570,33011GOFF01,33013DUNB01,2578661.17373
571,33011GOFF01,33013HOOK01,340860.523422
572,33011GRFD01,33011PETE01,2415734.93364
573,33011GRFD01,33011LYND01,4164428.57335
574,33011LYND01,33011MONT01,3218114.16272
575,33011LITC01,33011HUDS01,1231522.72962
576,33011LITC01,33015LOND01,971329.343836
577,33011HUDS01,33011PELH01,1220276.04444
578,33011HUDS01,33015LOND01,1476368.68763
579,33011HUDS01,33015WNDM01,343394.024352
580,33011PELH01,33015WNDM01,1884257.91766
581,33011PELH01,33015SALE01,851764.706662
582,33011NIPS01,33011GRNV01,1187526.71758
583,33011NIPS01,33011MASO01,316603.304656
584,33011GRNV01,33011MASO01,1813850.32092
585,33011MASO01,33011BRKL01,1150385.15692
586,33011BRKL01,33011HOLL01,1274838.39427
587,33011MANC12,33011MANC01,502200.449756
588,33011MANC12,33013HOOK01,1774070.10972
589,33011MANC01,33011MANC02,646062.004859
590,33011MANC01,33013HOOK01,1675281.36043
591,33011MANC02,33013HOOK01,1032620.89807
592,33011MANC02,33015AUBU01,0.0
593,33013CONC09,33013CONC08,1933195.49233
594,33013CONC09,33013CONC10,969177.687393
595,33013CONC07,33013CONC06,513170.326755
596,33013CONC07,33013BOW01,344183.862255
597,33013CONC07,33013CONC05,1448938.54545
598,33013CONC06,33013CONC08,1064089.82365
